,Date,Total Cases,Total Deaths,Close_SP500,Volume_SP500,Close_Dow_Jones_Industrial_Average,Volume_Dow_Jones_Industrial_Average,Close_NASDAQ,Volume_NASDAQ,Close_Russell2000,Volume_Russell2000
0,2020-02-28,9,4,2954.219971,8563850000,25409.359375,915990000,8567.370117,5301170000,1476.430054,85638500
1,2020-03-02,53,11,3090.22998,6376400000,26703.320313,637200000,8952.169922,4232760000,1518.48999,63764000
2,2020-03-03,94,14,3003.3701170000004,6355940000,25917.410156,647080000,8684.089844,4336700000,1486.079956,63559400
3,2020-03-04,209,16,3130.1201170000004,5035480000,27090.859375,457590000,9018.089844,3602870000,1531.199951,50354800
4,2020-03-05,276,20,3023.939941,5575550000,26121.279297,477370000,8738.589844,3748090000,1478.819946,55755500
5,2020-03-06,394,26,2972.3701170000004,6552140000,25864.779297,599780000,8575.620117,4279850000,1449.219971,65521400
6,2020-03-09,1048,35,2746.560059,8423050000,23851.019531,750430000,7950.680176000001,4530350000,1313.439941,84230500
7,2020-03-10,1365,37,2882.22998,7635960000,25018.160156,654860000,8344.25,4431930000,1350.900024,76359600
8,2020-03-11,1757,43,2741.3798829999996,7374110000,23553.220703,663960000,7952.049805,4273890000,1264.300049,73741100
9,2020-03-12,2221,51,2480.639893,8829380000,21200.619141,908260000,7201.799805,5066530000,1122.930054,88293800
10,2020-03-13,3095,55,2711.02002,8258670000,23185.619141,843080000,7874.879883,4685890000,1210.130005,82586700
11,2020-03-16,6182,97,2386.1298829999996,7781540000,20188.519531,770130000,6904.589844,4594360000,1037.420044,77815400
12,2020-03-17,8366,119,2529.189941,8358500000,21237.380859,793060000,7334.779785,4900000000,1106.51001,83585000
13,2020-03-18,10939,142,2398.100098,8755780000,19898.919922,871360000,6989.839844,4890820000,991.159973,87557800
14,2020-03-19,15134,185,2409.389893,7946710000,20087.189453,780300000,7150.580078,4762170000,1058.75,79467100
15,2020-03-20,20908,247,2304.919922,9044690000,19173.980469,872290000,6879.52002,5239940000,1013.8900150000001,90446900
16,2020-03-23,47066,509,2237.399902,7402180000,18591.929688,787970000,6860.669922,4330610000,1002.400024,74021800
17,2020-03-24,57224,706,2447.330078,7547350000,20704.910156,799340000,7417.859863,4417380000,1096.540039,75473500
18,2020-03-25,69508,931,2475.560059,8285670000,21200.550781,796320000,7384.299805,4666440000,1110.369995,82856700
19,2020-03-26,86811,1208,2630.070068,7753160000,22552.169922,705180000,7797.540039,3999850000,1180.319946,77531600
20,2020-03-27,105484,1574,2541.469971,6194330000,21636.779297,588830000,7502.379883,3977010000,1131.98999,61943300
21,2020-03-30,165597,2983,2626.649902,5746220000,22327.480469,545540000,7774.149901999999,3846900000,1158.319946,57462200
22,2020-03-31,190078,3803,2584.590088,6568290000,21917.160156,571210000,7700.100098000001,4059700000,1153.099976,65682900
23,2020-04-01,215329,4746,2470.5,5947900000,20943.509766,506680000,7360.580078,3685510000,1071.98999,59479000
24,2020-04-02,243403,5835,2526.899902,6454990000,21413.439453,529540000,7487.310059,3608190000,1085.810059,64549900
25,2020-04-03,275457,7026,2488.649902,6087190000,21052.529297,450010000,7373.080078,3279100000,1052.050049,60871900
26,2020-04-06,363719,10720,2663.679932,6391860000,22679.990234,610760000,7913.240234000001,3849100000,1138.780029,63918600
27,2020-04-07,394156,12646,2659.409912,7040720000,22653.859375,594660000,7887.259765999999,4069410000,1139.170044,70407200
28,2020-04-08,424289,14547,2749.97998,5856370000,23433.570313,472740000,8090.899901999999,3470730000,1191.660034,58563700
29,2020-04-09,458635,16424,2789.820068,7880140000,23719.369141,566400000,8153.580078,4123670000,1246.72998,78801400
