Years,Periods,Months,Unemployment Rate for 16yo and over
2006,M01,January,4.7
2006,M02,February,4.8
2006,M03,March,4.7
2006,M04,April,4.7
2006,M05,May,4.6
2006,M06,June,4.6
2006,M07,July,4.7
2006,M08,August,4.7
2006,M09,September,4.5
2006,M10,October,4.4
2006,M11,November,4.5
2006,M12,December,4.4
2007,M01,January,4.6
2007,M02,February,4.5
2007,M03,March,4.4
2007,M04,April,4.5
2007,M05,May,4.4
2007,M06,June,4.6
2007,M07,July,4.7
2007,M08,August,4.6
2007,M09,September,4.7
2007,M10,October,4.7
2007,M11,November,4.7
2007,M12,December,5.0
2008,M01,January,5.0
2008,M02,February,4.9
2008,M03,March,5.1
2008,M04,April,5.0
2008,M05,May,5.4
2008,M06,June,5.6
2008,M07,July,5.8
2008,M08,August,6.1
2008,M09,September,6.1
2008,M10,October,6.5
2008,M11,November,6.8
2008,M12,December,7.3
2009,M01,January,7.8
2009,M02,February,8.3
2009,M03,March,8.7
2009,M04,April,9.0
2009,M05,May,9.4
2009,M06,June,9.5
2009,M07,July,9.5
2009,M08,August,9.6
2009,M09,September,9.8
2009,M10,October,10.0
2009,M11,November,9.9
2009,M12,December,9.9
2010,M01,January,9.8
2010,M02,February,9.8
2010,M03,March,9.9
2010,M04,April,9.9
2010,M05,May,9.6
2010,M06,June,9.4
2010,M07,July,9.4
2010,M08,August,9.5
2010,M09,September,9.5
2010,M10,October,9.4
2010,M11,November,9.8
2010,M12,December,9.3
2011,M01,January,9.1
2011,M02,February,9.0
2011,M03,March,9.0
2011,M04,April,9.1
2011,M05,May,9.0
2011,M06,June,9.1
2011,M07,July,9.0
2011,M08,August,9.0
2011,M09,September,9.0
2011,M10,October,8.8
2011,M11,November,8.6
2011,M12,December,8.5
2012,M01,January,8.3
2012,M02,February,8.3
2012,M03,March,8.2
2012,M04,April,8.2
2012,M05,May,8.2
2012,M06,June,8.2
2012,M07,July,8.2
2012,M08,August,8.1
2012,M09,September,7.8
2012,M10,October,7.8
2012,M11,November,7.7
2012,M12,December,7.9
2013,M01,January,8.0
2013,M02,February,7.7
2013,M03,March,7.5
2013,M04,April,7.6
2013,M05,May,7.5
2013,M06,June,7.5
2013,M07,July,7.3
2013,M08,August,7.2
2013,M09,September,7.2
2013,M10,October,7.2
2013,M11,November,6.9
2013,M12,December,6.7
2014,M01,January,6.6
2014,M02,February,6.7
2014,M03,March,6.7
2014,M04,April,6.2
2014,M05,May,6.3
2014,M06,June,6.1
2014,M07,July,6.2
2014,M08,August,6.1
2014,M09,September,5.9
2014,M10,October,5.7
2014,M11,November,5.8
2014,M12,December,5.6
2015,M01,January,5.7
2015,M02,February,5.5
2015,M03,March,5.4
2015,M04,April,5.4
2015,M05,May,5.6
2015,M06,June,5.3
2015,M07,July,5.2
2015,M08,August,5.1
2015,M09,September,5.0
2015,M10,October,5.0
2015,M11,November,5.1
2015,M12,December,5.0
2016,M01,January,4.9
2016,M02,February,4.9
2016,M03,March,5.0
2016,M04,April,5.0
2016,M05,May,4.8
2016,M06,June,4.9
2016,M07,July,4.8
2016,M08,August,4.9
2016,M09,September,5.0
2016,M10,October,4.9
2016,M11,November,4.7
2016,M12,December,4.7
2017,M01,January,4.7
2017,M02,February,4.6
2017,M03,March,4.4
2017,M04,April,4.4
2017,M05,May,4.4
2017,M06,June,4.3
2017,M07,July,4.3
2017,M08,August,4.4
2017,M09,September,4.2
2017,M10,October,4.1
2017,M11,November,4.2
2017,M12,December,4.1
2018,M01,January,4.1
2018,M02,February,4.1
2018,M03,March,4.0
2018,M04,April,4.0
2018,M05,May,3.8
2018,M06,June,4.0
2018,M07,July,3.8
2018,M08,August,3.8
2018,M09,September,3.7
2018,M10,October,3.8
2018,M11,November,3.7
2018,M12,December,3.9
