,state,latitude,longitude,name, avg1218
0,AK,63.588753000000004,-154.493062,Alaska,6.817857142857143
1,AR,35.20105,-91.83183299999999,Arkansas,5.3011904761904765
2,AZ,34.048928000000004,-111.093731,Arizona,6.272619047619048
3,CA,36.778261,-119.41793200000001,California,6.795238095238097
4,CO,39.550051,-105.782067,Colorado,4.695238095238095
5,CT,41.603221000000005,-73.087749,Connecticut,6.076190476190478
6,DE,38.910832,-75.52767,Delaware,5.321428571428571
7,FL,27.664827000000002,-81.515754,Florida,5.7250000000000005
8,GA,32.157435,-82.907123,Georgia,6.357142857142856
9,HI,19.898682,-155.66585700000002,Hawaii,3.8166666666666655
10,IA,41.878003,-93.097702,Iowa,3.875
11,ID,44.068202,-114.74204099999999,Idaho,4.592857142857143
12,IL,40.633125,-89.398528,Illinois,6.595238095238094
13,IN,40.551217,-85.602364,Indiana,5.463095238095237
14,KS,39.011902,-98.484246,Kansas,4.3892857142857125
15,KY,37.839333,-84.27001800000001,Kentucky,6.038095238095237
16,LA,31.244822999999997,-92.14502399999999,Louisiana,6.073809523809524
17,MA,42.407211,-71.382437,Massachusetts,4.985714285714286
18,MD,39.045755,-76.641271,Maryland,5.292857142857144
19,ME,45.253783,-69.44546899999999,Maine,4.927380952380952
20,MI,44.314844,-85.602364,Michigan,6.328571428571429
21,MN,46.729553,-94.6859,Minnesota,4.089285714285714
22,MO,37.964253,-91.83183299999999,Missouri,5.188095238095237
23,MS,32.354668,-89.398528,Mississippi,6.736904761904763
24,MT,46.879682,-110.36256599999999,Montana,4.569047619047619
25,NC,35.759572999999996,-79.0193,North Carolina,6.113095238095238
26,ND,47.551493,-101.002012,North Dakota,2.826190476190476
27,NE,41.492537,-99.901813,Nebraska,3.279761904761905
28,NH,43.193852,-71.572395,New Hampshire,3.770238095238095
29,NJ,40.058324,-74.405661,New Jersey,6.254761904761906
30,NM,34.97273,-105.03236299999999,New Mexico,6.36904761904762
31,NV,38.802609999999994,-116.419389,Nevada,7.2369047619047615
32,NY,43.299428000000006,-74.217933,New York,5.932142857142857
33,OH,40.417287,-82.907123,Ohio,5.717857142857143
34,OK,35.007752,-97.092877,Oklahoma,4.559523809523808
35,OR,43.804133,-120.554201,Oregon,6.003571428571428
36,PA,41.203322,-77.194525,Pennsylvania,5.8309523809523816
37,PR,18.220833,-66.590149,Puerto Rico,12.346428571428573
38,RI,41.580095,-71.477429,Rhode Island,6.703571428571428
39,SC,33.836081,-81.163725,South Carolina,6.001190476190477
40,SD,43.969515,-99.901813,South Dakota,3.4035714285714285
41,TN,35.517491,-86.58044699999999,Tennessee,5.683333333333333
42,TX,31.968598999999998,-99.901813,Texas,5.045238095238097
43,UT,39.32098,-111.093731,Utah,3.8809523809523814
44,VA,37.431573,-78.656894,Virginia,4.613095238095238
45,VT,44.558803000000005,-72.577841,Vermont,3.647619047619048
46,WA,47.751073999999996,-120.74013899999999,Washington,5.904761904761906
47,WI,43.784440000000004,-88.787868,Wisconsin,4.847619047619047
48,WV,38.597626,-80.454903,West Virginia,6.303571428571429
49,WY,43.075967999999996,-107.29028400000001,Wyoming,4.548809523809523
