,years,months,"Unemployment, 16yo and over","Unemployment, Men 16yo and over","Unemployment, Women 16yo and over","Unemployment, White people 16yo and over","Unemployment, African Americans 16yo and over","Unemployment, Asian people 16yo and over","Unemployment, Hispanic people 16yo and over"
0,2006,January,4.7,4.6,4.8,4.1,8.9,3.0,5.5
1,2006,December,4.4,4.5,4.4,3.9,8.3,2.5,5.0
2,2006,November,4.5,4.5,4.5,4.0,8.5,3.1,5.1
3,2006,October,4.4,4.4,4.4,3.9,8.4,2.8,4.8
4,2006,September,4.5,4.4,4.7,3.9,9.0,3.0,5.5
5,2006,August,4.7,4.7,4.6,4.1,8.8,3.0,5.3
6,2006,February,4.8,4.8,4.8,4.1,9.5,3.0,5.4
7,2006,June,4.6,4.6,4.6,4.1,8.9,3.1,5.2
8,2006,May,4.6,4.7,4.5,4.1,8.7,3.3,5.0
9,2006,April,4.7,4.7,4.7,4.1,9.4,3.9,5.5
10,2006,March,4.7,4.7,4.7,4.0,9.5,3.5,5.2
11,2006,July,4.7,4.7,4.7,4.1,9.5,2.4,5.2
12,2007,December,5.0,5.1,4.9,4.4,9.0,3.7,6.3
13,2007,November,4.7,4.8,4.6,4.2,8.5,3.6,5.9
14,2007,October,4.7,4.8,4.6,4.1,8.5,3.8,5.7
15,2007,September,4.7,4.8,4.5,4.2,8.0,3.4,5.9
16,2007,August,4.6,4.7,4.6,4.2,7.6,3.5,5.5
17,2007,July,4.7,4.7,4.6,4.2,8.1,2.7,5.9
18,2007,June,4.6,4.7,4.4,4.1,8.5,2.7,5.5
19,2007,May,4.4,4.6,4.3,3.9,8.3,3.2,5.8
20,2007,April,4.5,4.6,4.4,4.0,8.3,3.5,5.6
21,2007,March,4.4,4.5,4.3,3.8,8.4,3.0,5.0
22,2007,February,4.5,4.7,4.3,4.1,8.0,2.6,5.1
23,2007,January,4.6,4.7,4.5,4.2,7.9,3.1,5.5
24,2008,December,7.3,8.0,6.5,6.7,12.1,5.1,9.4
25,2008,November,6.8,7.4,6.2,6.2,11.5,4.8,8.7
26,2008,October,6.5,7.1,5.9,5.9,11.4,3.9,8.8
27,2008,September,6.1,6.7,5.5,5.4,11.3,4.0,8.0
28,2008,August,6.1,6.3,5.9,5.4,10.6,4.5,8.0
29,2008,January,5.0,5.2,4.8,4.4,9.1,3.1,6.3
30,2008,June,5.6,5.8,5.3,5.0,9.4,4.2,7.6
31,2008,May,5.4,5.6,5.2,4.8,9.6,4.1,6.9
32,2008,April,5.0,5.2,4.8,4.4,8.6,3.5,7.1
33,2008,March,5.1,5.2,5.0,4.5,9.2,3.6,6.9
34,2008,February,4.9,5.0,4.7,4.4,8.4,2.9,6.2
35,2008,July,5.8,6.2,5.3,5.2,10.0,3.7,7.5
36,2009,December,9.9,10.9,8.7,9.0,16.1,8.4,12.8
37,2009,November,9.9,11.0,8.6,9.2,15.7,7.2,12.4
38,2009,October,10.0,11.1,8.7,9.2,15.8,7.6,12.8
39,2009,September,9.8,10.9,8.5,8.9,15.3,7.6,12.6
40,2009,July,9.5,10.5,8.3,8.7,14.8,8.1,12.5
41,2009,August,9.6,10.7,8.3,8.9,14.8,7.6,13.0
42,2009,May,9.4,10.6,8.0,8.5,15.0,7.0,12.3
43,2009,June,9.5,10.6,8.3,8.7,14.8,7.9,12.1
44,2009,January,7.8,8.6,7.0,7.1,12.7,6.1,10.1
45,2009,April,9.0,10.1,7.6,8.1,15.0,6.8,11.4
46,2009,March,8.7,9.7,7.6,8.0,13.7,6.5,11.7
47,2009,February,8.3,9.2,7.3,7.6,13.7,6.7,11.3
48,2010,December,9.3,10.0,8.5,8.5,15.5,7.2,12.9
49,2010,November,9.8,10.5,9.0,8.9,16.2,7.5,12.9
50,2010,October,9.4,10.1,8.7,8.6,15.6,7.2,12.3
51,2010,August,9.5,10.3,8.6,8.6,15.9,7.3,12.0
52,2010,July,9.4,10.3,8.5,8.5,15.6,7.9,12.2
53,2010,September,9.5,10.2,8.6,8.6,16.0,6.6,12.3
54,2010,May,9.6,10.4,8.8,8.7,15.5,7.8,12.0
55,2010,April,9.9,10.9,8.8,9.0,16.6,7.0,12.5
56,2010,March,9.9,10.9,8.7,8.9,16.8,7.6,12.9
57,2010,February,9.8,10.9,8.6,8.9,16.1,8.2,12.7
58,2010,January,9.8,11.0,8.4,8.8,16.5,8.3,12.9
59,2010,June,9.4,10.4,8.3,8.6,15.2,7.4,12.3
60,2011,September,9.0,9.3,8.7,7.9,15.9,8.0,11.2
61,2011,December,8.5,8.7,8.3,7.5,15.4,6.8,11.1
62,2011,November,8.6,8.9,8.3,7.7,15.6,6.4,11.2
63,2011,October,8.8,9.2,8.4,7.9,14.6,7.4,11.3
64,2011,August,9.0,9.4,8.5,7.9,16.4,7.2,11.2
65,2011,March,9.0,9.5,8.4,8.0,15.8,7.3,11.6
66,2011,June,9.1,9.6,8.5,8.1,16.2,6.5,11.5
67,2011,May,9.0,9.5,8.5,7.9,16.3,7.2,11.6
68,2011,April,9.1,9.6,8.5,8.1,16.5,6.5,11.9
69,2011,February,9.0,9.5,8.5,8.1,15.5,6.7,11.8
70,2011,July,9.0,9.5,8.4,8.0,15.9,7.4,11.2
71,2011,January,9.1,9.7,8.5,8.1,15.8,6.8,12.3
72,2012,June,8.2,8.4,7.9,7.3,14.5,6.1,10.9
73,2012,January,8.3,8.4,8.2,7.4,13.6,6.7,10.7
74,2012,February,8.3,8.4,8.1,7.4,14.0,6.2,10.9
75,2012,March,8.2,8.4,8.0,7.3,14.0,6.4,10.6
76,2012,April,8.2,8.3,8.0,7.4,13.3,5.4,10.3
77,2012,May,8.2,8.4,7.9,7.4,13.5,5.5,10.9
78,2012,July,8.2,8.3,8.0,7.3,14.2,5.9,10.2
79,2012,September,7.8,8.0,7.6,7.0,13.6,4.9,9.7
80,2012,October,7.8,7.9,7.6,6.9,14.1,4.9,10.0
81,2012,November,7.7,7.9,7.6,6.8,13.3,6.3,9.9
82,2012,December,7.9,7.9,7.9,6.9,14.0,6.6,9.6
83,2012,August,8.1,8.3,7.8,7.2,13.8,5.9,10.1
84,2013,December,6.7,6.8,6.6,5.9,11.9,4.3,8.3
85,2013,November,6.9,7.2,6.7,6.1,12.3,5.2,8.7
86,2013,October,7.2,7.5,6.8,6.3,12.8,5.4,9.1
87,2013,September,7.2,7.7,6.7,6.3,13.0,5.4,8.8
88,2013,August,7.2,7.7,6.7,6.4,12.8,5.1,9.2
89,2013,July,7.3,7.7,6.8,6.5,12.6,5.3,9.4
90,2013,June,7.5,7.7,7.3,6.6,14.2,4.7,9.1
91,2013,May,7.5,7.9,7.1,6.7,13.4,4.5,9.0
92,2013,April,7.6,7.8,7.3,6.7,13.3,5.3,9.0
93,2013,March,7.5,7.6,7.5,6.7,13.0,5.1,9.3
94,2013,February,7.7,7.8,7.6,6.8,13.8,6.0,9.7
95,2013,January,8.0,8.2,7.8,7.1,13.7,6.4,9.7
96,2014,December,5.6,5.7,5.4,4.7,10.6,4.4,6.4
97,2014,November,5.8,5.9,5.8,5.0,10.9,4.8,6.6
98,2014,October,5.7,5.6,5.9,4.9,10.6,5.1,6.8
99,2014,September,5.9,5.9,6.0,5.1,11.0,4.4,6.8
100,2014,August,6.1,6.3,6.0,5.3,11.4,4.5,7.4
101,2014,January,6.6,6.8,6.3,5.7,12.1,4.7,8.3
102,2014,June,6.1,6.3,5.8,5.3,11.0,4.7,7.8
103,2014,May,6.3,6.4,6.2,5.4,11.4,5.7,7.7
104,2014,April,6.2,6.4,6.1,5.3,11.6,5.9,7.2
105,2014,March,6.7,6.7,6.6,5.8,12.1,5.5,7.9
106,2014,February,6.7,6.9,6.4,5.8,11.8,5.9,8.2
107,2014,July,6.2,6.2,6.1,5.3,11.6,4.2,7.7
108,2015,December,5.0,5.1,4.9,4.4,8.5,4.1,6.2
109,2015,August,5.1,5.1,5.0,4.4,9.4,3.4,6.6
110,2015,October,5.0,5.1,5.0,4.4,9.0,3.5,6.3
111,2015,September,5.0,5.1,5.0,4.4,9.3,3.5,6.2
112,2015,July,5.2,5.2,5.2,4.5,9.1,3.9,6.9
113,2015,November,5.1,5.2,5.0,4.4,9.4,3.9,6.4
114,2015,May,5.6,5.7,5.5,4.8,10.3,4.1,6.8
115,2015,April,5.4,5.5,5.4,4.7,9.7,4.4,6.8
116,2015,March,5.4,5.6,5.3,4.8,9.9,3.2,6.8
117,2015,February,5.5,5.6,5.3,4.7,10.1,4.0,6.8
118,2015,January,5.7,5.8,5.5,4.9,10.3,4.0,6.7
119,2015,June,5.3,5.3,5.1,4.6,9.7,3.9,6.7
120,2016,December,4.7,4.8,4.6,4.2,7.9,2.7,5.9
121,2016,November,4.7,4.8,4.6,4.2,8.1,3.1,5.8
122,2016,October,4.9,5.0,4.7,4.4,8.4,3.4,5.8
123,2016,September,5.0,5.1,4.9,4.4,8.5,3.8,6.4
124,2016,August,4.9,5.0,4.8,4.3,8.0,4.1,5.6
125,2016,July,4.8,5.0,4.6,4.2,8.4,3.8,5.5
126,2016,June,4.9,5.0,4.8,4.3,8.8,3.5,5.9
127,2016,May,4.8,4.9,4.8,4.2,8.2,4.2,5.6
128,2016,April,5.0,5.0,5.0,4.4,8.8,3.8,6.1
129,2016,March,5.0,5.0,5.0,4.3,8.9,3.9,5.5
130,2016,February,4.9,4.9,4.8,4.3,8.5,3.8,5.4
131,2016,January,4.9,4.9,4.9,4.2,8.7,3.6,5.8
132,2017,December,4.1,4.1,4.1,3.7,6.7,2.5,5.0
133,2017,November,4.2,4.2,4.1,3.7,7.4,3.0,4.8
134,2017,October,4.1,4.2,4.0,3.5,7.4,3.0,4.9
135,2017,September,4.2,4.3,4.2,3.7,7.2,3.6,5.1
136,2017,August,4.4,4.5,4.3,3.8,7.7,3.9,5.2
137,2017,April,4.4,4.4,4.5,3.9,7.9,3.3,5.1
138,2017,June,4.3,4.4,4.3,3.8,7.1,3.6,4.9
139,2017,May,4.4,4.3,4.5,3.8,7.7,3.7,5.2
140,2017,March,4.4,4.6,4.3,3.9,7.9,3.3,5.0
141,2017,February,4.6,4.7,4.6,4.0,7.9,3.4,5.5
142,2017,January,4.7,4.7,4.7,4.2,7.5,3.7,5.8
143,2017,July,4.3,4.3,4.2,3.7,7.4,3.8,5.1
144,2018,November,3.7,3.6,3.8,3.4,6.1,2.8,4.5
145,2018,October,3.8,3.8,3.8,3.3,6.3,3.1,4.4
146,2018,September,3.7,3.8,3.7,3.3,6.2,3.5,4.6
147,2018,August,3.8,3.8,3.8,3.4,6.3,3.0,4.7
148,2018,July,3.8,3.8,3.9,3.3,6.6,3.1,4.4
149,2018,April,4.0,4.1,3.8,3.6,6.4,2.8,4.8
150,2018,May,3.8,4.0,3.6,3.5,5.9,2.2,4.9
151,2018,March,4.0,4.1,4.0,3.6,6.8,3.1,5.0
152,2018,February,4.1,4.1,4.1,3.7,6.7,2.9,4.9
153,2018,January,4.1,4.2,4.0,3.5,7.5,3.0,5.0
154,2018,June,4.0,4.1,3.9,3.5,6.5,3.2,4.5
155,2018,December,3.9,3.9,3.8,3.4,6.6,3.3,4.4
